epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.267,0.61018,9.85676,0.01099,0.23488,0.31201,0.23502,0.21345,0.3621,4.3903,0.00944,0.000192621,0.000192621,0.000192621
2,86.6125,0.67821,3.77352,0.0124,0.69168,0.54746,0.624,0.54792,0.48902,1.37429,0.01286,0.000384773,0.000384773,0.000384773
3,116.527,0.7136,2.04964,0.01264,0.77106,0.76939,0.83916,0.73775,0.4685,0.75507,0.01246,0.000573045,0.000573045,0.000573045
4,147.63,0.73088,1.46662,0.0135,0.78559,0.79394,0.86511,0.75345,0.52726,0.67027,0.01483,0.000570536,0.000570536,0.000570536
5,177.099,0.71139,1.19836,0.01303,0.85116,0.82267,0.89504,0.78261,0.49755,0.48745,0.01326,0.000564715,0.000564715,0.000564715
6,206.168,0.72434,1.09305,0.01347,0.80049,0.86328,0.90607,0.80997,0.45051,0.5032,0.01227,0.000558894,0.000558894,0.000558894
7,234.792,0.70473,0.95257,0.01318,0.88013,0.81385,0.89648,0.79282,0.46095,0.49833,0.01201,0.000553073,0.000553073,0.000553073
8,262.541,0.70339,0.8956,0.01276,0.89181,0.89595,0.94264,0.84736,0.43278,0.31745,0.01115,0.000547252,0.000547252,0.000547252
9,291.552,0.67071,0.82025,0.01241,0.88951,0.84963,0.93513,0.82996,0.48575,0.40831,0.01314,0.00054143,0.00054143,0.00054143
10,319.955,0.67972,0.81396,0.0124,0.8888,0.87392,0.9427,0.84401,0.45437,0.32177,0.01189,0.000535609,0.000535609,0.000535609
11,348.519,0.66838,0.76195,0.01246,0.88068,0.88068,0.94673,0.84892,0.43959,0.32844,0.01156,0.000529788,0.000529788,0.000529788
12,378.078,0.66003,0.70939,0.01238,0.90942,0.88681,0.9581,0.85245,0.42572,0.31406,0.01139,0.000523967,0.000523967,0.000523967
13,407.67,0.65814,0.64725,0.01171,0.90013,0.89621,0.95406,0.87431,0.39212,0.31692,0.01023,0.000518146,0.000518146,0.000518146
14,437.05,0.64704,0.68322,0.01174,0.91801,0.88926,0.95654,0.87057,0.39291,0.27294,0.01025,0.000512324,0.000512324,0.000512324
15,464.471,0.64897,0.68946,0.01187,0.91013,0.84812,0.93843,0.84857,0.4054,0.3225,0.01032,0.000506503,0.000506503,0.000506503
16,492.402,0.6301,0.61918,0.01141,0.9244,0.90901,0.96119,0.87165,0.41204,0.25348,0.01067,0.000500682,0.000500682,0.000500682
17,520.104,0.63102,0.59942,0.0118,0.92658,0.9096,0.95863,0.87553,0.39669,0.2548,0.01038,0.000494861,0.000494861,0.000494861
18,549.031,0.59494,0.57175,0.01066,0.90527,0.89386,0.95665,0.87969,0.36476,0.28797,0.0094,0.00048904,0.00048904,0.00048904
19,577.878,0.60633,0.592,0.0106,0.91634,0.90079,0.95399,0.87587,0.39282,0.30786,0.01018,0.000483218,0.000483218,0.000483218
20,606.235,0.59298,0.54434,0.01058,0.93903,0.91567,0.96993,0.90351,0.33793,0.2022,0.00858,0.000477397,0.000477397,0.000477397
21,635.397,0.60616,0.5558,0.01077,0.92601,0.91644,0.96693,0.90699,0.31047,0.22427,0.00763,0.000471576,0.000471576,0.000471576
22,664.833,0.57852,0.5176,0.01054,0.92919,0.90422,0.96168,0.89291,0.34092,0.27632,0.00858,0.000465755,0.000465755,0.000465755
23,692.988,0.59369,0.55585,0.01038,0.91404,0.8751,0.95197,0.87766,0.34666,0.31255,0.00875,0.000459934,0.000459934,0.000459934
